{10 program 1 0}
{15 { 1 7}
{6 int 2 1}
{11 a 2 5}
{18 , 2 6}
{11 b 2 8}
{17 ; 2 9}
{6 float 3 1}
{11 x 3 7}
{18 , 3 8}
{11 y 3 10}
{17 ; 3 11}
{6 bool 4 1}
{11 z 4 6}
{18 , 4 7}
{11 w 4 9}
{17 ; 4 10}
{33 do 5 1}
{15 { 5 3}
{7 if 6 2}
{13 ( 6 4}
{11 a 6 5}
{24 == 6 7}
{12 0 6 10}
{14 ) 6 11}
{15 { 6 12}
{6 int 7 3}
{11 m 7 7}
{18 , 7 8}
{11 n 7 10}
{17 ; 7 11}
{4 read 8 3}
{11 x 8 8}
{17 ; 8 9}
{4 read 9 3}
{11 y 9 8}
{17 ; 9 9}
{11 m 10 3}
{19 = 10 5}
{12 8 10 7}
{26 + 10 9}
{12 1 10 11}
{17 ; 10 12}
{5 write 11 3}
{11 x 11 9}
{26 + 11 11}
{11 y 11 13}
{17 ; 11 14}
{16 } 12 2}
{8 else 12 3}
{15 { 12 7}
{15  12 9}
{6 int 13 3}
{11 m 13 7}
{18 , 13 8}
{11 n 13 10}
{17 ; 13 11}
{4 read 14 3}
{11 x 14 8}
{17 ; 14 9}
{5 write 15 3}
{11 x 15 9}
{17 ; 15 10}
{17  16 3}
{5 write 17 3}
{11 x 17 9}
{27 - 17 11}
{12 1.58785 17 13}
{28 * 17 21}
{13 ( 17 23}
{12 20 17 24}
{28 / 17 26}
{11 x 17 27}
{14 ) 17 28}
{17 ; 17 29}
{16 } 18 2}
{9 fi 18 3}
{11 x 19 2}
{19 = 19 4}
{12 27.33 19 6}
{26 + 19 12}
{11 b 19 14}
{17 ; 19 15}
{16 } 20 1}
{34 until 20 2}
{13 ( 20 7}
{11 a 20 8}
{20 < 20 10}
{11 b 20 12}
{14 ) 20 13}
{17 ; 20 14}
{35 while 22 1}
{13 ( 22 6}
{11 z 22 7}
{36 and 22 9}
{11 w 22 13}
{14 ) 22 14}
{15 { 22 15}
{6 int 23 2}
{11 m 23 6}
{18 , 23 7}
{11 n 23 9}
{17 ; 23 10}
{4 read 24 2}
{11 x 24 7}
{17 ; 24 8}
{5 write 25 2}
{11 x 25 8}
{17 ; 25 9}
{5 write 26 2}
{11 x 26 8}
{27 - 26 10}
{12 1.58785 26 12}
{28 * 26 20}
{13 ( 26 22}
{12 20 26 23}
{28 / 26 25}
{11 x 26 26}
{14 ) 26 27}
{17 ; 26 28}
{16 } 27 1}
{11 z 30 1}
{19 = 30 3}
{12 1 30 5}
{17 ; 30 6}
{11 z 32 1}
{19 = 32 3}
{11 z 32 5}
{36 and 32 7}
{11 w 32 11}
{36 and 32 13}
{11 a 32 17}
{20 < 32 19}
{11 x 32 21}
{28 / 32 22}
{11 y 32 23}
{17 ; 32 24}
{16 } 33 0}
